Title,Abstract,DOI
Trajectories of male sexual aggression from adolescence through college: A latent class growth analysis,"Approximately 25% of male college students report engaging in some form of sexual coercion by the end of their fourth year of college. White and Smith (2004) found that negative childhood experiences-childhood sexual abuse, childhood physical abuse, and witnessing domestic violence-predicted sexual aggression perpetrated before college, but not during the subsequent college years, a puzzling finding in view of the reasonably consistent rates of sexual aggression from adolescence to the first 2 years of college. The current study takes a person-centered approach to sexual aggression in an attempt to resolve this discrepancy. We examined the possibility of cohesive subgroups of men in terms of their frequency of sexual aggression across the pre-college and college years. A series of latent class growth models were fit to an existing longitudinal dataset of sexual experiences collected across four time points-pre-college through year 3 of college. A four-trajectory model fit the data well, exhibiting significantly better fit than a three-trajectory model. The four trajectories are interpreted as men who perpetrate sexual aggression at (1) low (71.5% of the sample), (2) moderate (21.2%), (3) decreasing (4.2%), and (4) increasing (3.1%) frequencies across time. Negative childhood experiences predicted membership of the decreasing trajectory, relative to the low trajectory, but did not predict membership of the increasing trajectory, explaining the discrepancy uncovered by White and Smith. Implications for primary prevention of sexual aggression are discussed.",https://doi.org/10.1002/ab.21584,
The prevalence rate of sexual violence worldwide: a trend analysis,"Abstract Background The purpose of the present study is to showcase the image of Sexual Violence (SV) temporal trends through exploring differences in its prevalence rates during 1990–2017 across 195 countries and territories. Methods The SV prevalence rates were derived from the Global Burden of Disease (GBD) database during 1990–2017, worldwide. First, the Latent Growth Model (LGM) was employed for assessing the change in SV prevalence rate over time in Asia, Africa, Europe, North America, South America, Australia &amp; Oceania, for men and women separately. Then, the change in SV prevalence rate over time was determined within countries with high and low Human Development Index (HDI). Finally, the Latent Growth Mixture Models (LGMM) were applied for identifying classes where countries within each class have similar trend of SV prevalence rate over time. Results The SV prevalence was higher among women than men and decreased in both genders over time across the world. The declining trend in SV prevalence against men is visible in both countries with high and low HDI, but SV prevalence against women in countries with low HDI shows an increase. The findings of LGMM identified six classes of SV prevalence trajectories. LGMM allocated Bermuda into the class with the highest decrease in SV prevalence against men, and Equatorial Guinea and Luxembourg into the class with the highest increase. Other countries had very slow declining trends. In terms of SV prevalence against women, LGMM allocated China, North Korea, and Taiwan into the class with the most increase among the countries in the world. Bermuda, Guyana, Mexico, Nigeria, and Saint Lucia were placed into the class which witnessed the largest decline and Angola, Congo, and Equatorial Guinea were ranked next. The trend in other countries was mostly decreasing. Conclusion Given the high economic and social burden that SV has on victims and societies, the rate of SV in most countries does not seem to have dropped remarkably and requires special attention by relevant policymakers. The SV prevalence rate is highly heterogeneous among world countries which may be due to the definitions and tools used, and more importantly, the culture norms.",https://doi.org/10.1186/s12889-020-09926-5,
Impacts of Low Self-Control and Delinquent Peer Associations on Bullying Growth Trajectories Among Korean Youth: A Latent Growth Mixture Modeling Approach,"The emergence of studies applying Gottfredson and Hirschi’s (1990) self-control theory to offending behaviors has produced empirical support confirming the position that individuals with low self-control are more likely to engage in deviant behaviors. However, few have examined its effects with opportunity factors. The present study examines the time-invariant effect of low self-control, as well as the time-concurrent and lagged effects of opportunity factors (parental attachment and delinquent peer associations), on bullying growth trajectories. The findings in the latent growth curve analysis demonstrate that low self-control is significantly related to both the initial levels and change in bullying over time, even after controlling for delinquent peer associations in homogeneous populations. The new approach described within the latent class growth modeling framework (i.e., growth mixture) incorporates a categorical latent trajectory variable representing latent classes (i.e., distinct subgroups), having similar patterns of bullying growth trajectories. Three groups of students emerged from the student-reported data at five time points from ages 11 to 15, decreasers (90%), moderate late peakers (7%), and high late peakers(3%), defined by different predictors and sequelae. Low self-control was rendered insignificant for both moderate late peakers and high late peakers relative to decreasers; delinquent peer associations had a time-concurrent effect for moderate late peakers than decreasers; and high late peakers had a time-lagged effect relative to moderate late peakers.",https://doi.org/10.1177/0886260518786495,
The Development of Deviant and Delinquent Behavior of Adolescents: Applications of Latent Class Growth Curves and Growth Mixture Models,"This chapter discusses the systematic comparison of the latent class growth model and the more general growth mixture model within the framework of Mplus. A representative panel study of adolescents' deviant and delinquent behavior served as database for the systematic study of growth mixtures. The chapter introduces design of the study, variables, and descriptive statistics. It addresses the question of how many distinctive groups exists in the data under the assumption of the latent class growth model. Based on the results, studies various growth mixture models allowing random intercepts and slopes. The chapter summarizes the results and discusses suggestions for further research with growth mixture models. Longitudinal research studies with repeated measurements are quite often used to examine processes of stability and change in individuals or groups. With panel data it is possible to investigate intraindividual development of substantive variables across time as well as interindividual differences and similarities in change patterns.",https://doi.org/10.4324/9781315091655-10,
Delinquency in Emerging Adulthood: Insights into Trajectories of Young Adults in a German Sample and Implications for Measuring Continuity of Offending,"Abstract The majority of studies within the framework of Developmental and Life-Course Criminology focus on adolescence. There are even fewer studies that deal with heterotypic measures of delinquency. This study fills a gap in the literature by targeting exclusively the period of emerging adulthood (ages 18 to 28) and scrutinizing different trajectories and patterns of offending (offending portfolios) thereof. We discuss the topic of continuity of offending with changing opportunity structures for an adult population via contrast of one set of delinquent behaviors reflecting opportunity structures in adolescence (youth set) and one where adult-appropriate criminal activities were added (total set). We applied latent class growth analysis (LCGA) to both sets in a sample of 1810 German men and women aged 18 to 28 years. During emerging adulthood, average crime versatility and incidences increase slightly with items of the total set, while it decreases with only the youth set. LCGA on the total set reveals five meaningful trajectories with declining but also increasing slopes. Among these is one trajectory of innocuous adolescents, who start an offending career with mainly adult crimes during emerging adulthood. Of the sample, 45.25% reported at least one offense during that period. Traffic offenses and fraud are the most prevalent types of offending. While the sample’s majority is considered non-offenders, emerging adults do not entirely cease to commit offenses. Instead, they shift their preference towards age-appropriate and covert ways to act anti-socially. Trajectory groups reflect proclivities towards either youth, adult, or a mix of both types of crime.",https://doi.org/10.1007/s40865-020-00157-1,
Exploration and explanation of adolescent self-reported delinquency trajectories in the Crimoc study,"This chapter provides an overview of the key findings on the exploration and explanation of self-reported delinquency trajectories in the German prospective panel study Crime in the modern city (Crimoc). It outlines the study with regard to design, theoretical framework and assumptions regarding the explanation and courses of delinquent behaviour during adolescence. The chapter considers the study's socio-demographic and penal circumstances. It explains basic information and descriptive statistics for the panel data and measures used in the current analysis. The chapter discusses the statistical methods to explore and explain distinct trajectories of self-reported delinquency. Finally, the presentation of the results of the statistical analysis is divided in two parts: First, the basic pattern of delinquent trajectories during adolescence and young adulthood is described on the basis of a latent class growth analysis (LCGA). Second, patterns of theoretically relevant variables representing social values, social bonds and attitudes towards delinquency are used to explain membership in a particular class of offenders.",https://doi.org/10.4324/9781315747996-10,
Maltreatment in childhood and intimate partner violence: A latent class growth analysis in a South African pregnancy cohort,"Intimate partner violence (IPV) is a significant global problem, prevalent in low and middle-income countries (LMICs). IPV is particularly problematic during the perinatal and early postnatal period, where it is linked with negative maternal and child health outcomes. There has been little examination of profiles of IPV and early life adversity in LMIC contexts. We aimed to characterize longitudinal IPV and to investigate maternal maltreatment in childhood as a predictor of IPV exposure during pregnancy and postnatally in a low resource setting. This study was nested in the Drakenstein Child Health Study, a longitudinal birth cohort. Maternal IPV (emotional, physical and sexual) was measured at six timepoints from pregnancy to two years postpartum (n = 832); sociodemographic variables and maternal maltreatment in childhood were measured antenatally at 28–32 weeks' gestation. Associations between maternal maltreatment in childhood and IPV latent class membership (to identify patterns of maternal IPV exposure) were estimated using multinomial and logistic regression. We observed high levels of maternal maltreatment during childhood (34%) and IPV during pregnancy (33%). In latent class analysis separating by IPV sub-type, two latent classes of no/low and moderate sexual IPV and three classes of low, moderate, and high emotional and physical IPV (separately) were detected. In combined latent class analysis, including all IPV sub-types together, a low, moderate and high exposure class emerged as well as a high antenatal/decreasing postnatal class. Moderate and high classes for all IPV sub-types and combined analysis showed stable intensity profiles. Maternal childhood sexual abuse, physical abuse and neglect, and emotional abuse predicted membership in high IPV classes, across all domains of IPV (aORs between 1.99 and 5.86). Maternal maltreatment in childhood was associated with increased probability of experiencing high or moderate intensity IPV during and around pregnancy; emotional neglect was associated with decreasing IPV class for combined model. Intervening early to disrupt this cycle of abuse is critical to two generations.",https://doi.org/10.1016/j.chiabu.2018.08.020,
Developmental Trajectories of Delinquent Peer Association Among Korean Adolescents: A Latent Class Growth Analysis Approach to Assessing Peer Selection and Socialization Effects on Online and Offline Crimes,"The relationship between peers and delinquency has been taken as evidence for selection and socialization effects in the etiology of adolescents. Accumulating evidence suggests that both effects are involved. This study examines whether adolescents’ aggressive propensities and behaviors predict their peers (selection) and whether peers’ propensities and behaviors predict adolescents’ behaviors (socialization). The latent class growth analysis approach revealed three distinct subgroups: an early-onset group (0.9%); a late-peak group (3.37%); and a normative group (95.73%). Both selection and socialization effects were supported using a longitudinal Korean adolescent self-report. The results showed that adolescents with less self-control who are online more frequently and exhibit higher levels of traditional bullying and delinquency were more likely to be members of both the early-onset and late-peak groups compared with the normative group. Also, the aggressive behaviors fully mediated the link between aggressive propensities and delinquent peer associations. Furthermore, adolescents in the late-peak group (but not those in the early-onset group) were associated with a greater likelihood of online and offline delinquency, but cyberbullying and traditional bullying in late adolescence levels were high in both groups’ members.",https://doi.org/10.1177/10439862211001617,
The quest for identity in adolescence: Heterogeneity in daily identity formation and psychosocial adjustment across 5 years.,"Identity formation is one of the key developmental tasks in adolescence.According to Erikson (1968) experiencing identity uncertainty is normative in adolescence.However, empirical studies investigating identity uncertainty on a daily basis are lacking.Hence, studying individual differences in daily certainty (i.e., identity commitment levels) and uncertainty (i.e., identity commitment fluctuations and identity reconsideration) in the identity formation process may advance our knowledge about the extent to which adolescents' identity uncertainty is part of normative identity development.Therefore, this longitudinal study examined heterogeneity in certainty and uncertainty dynamics of adolescents' daily identity formation using a longitudinal microlevel approach.Dutch adolescents (N ϭ 494; M age ϭ 13.03 years at T1; 56.7% boys) reported on 2 key dimensions of identity formation (i.e., commitment and reconsideration) in both the educational and interpersonal domain on a daily basis for 3 weeks within 1 year, across 5 successive years.Multivariate latent class growth analyses suggested both in the educational and interpersonal identity domain a class of adolescents displaying a ""crisis-like"" identity formation process, and an ""identity synthesis"" class.Classes revealed differential development of (global and school) anxiety, aggression, and best friend support.Taken together, the present study confirmed Erikson's notion that experiencing daily identity uncertainty is common during adolescence.However, a substantial amount of adolescents also showed a process toward identity maturation already during adolescence.",https://doi.org/10.1037/dev0000245,
"Violent offending among juveniles: A 7-year longitudinal study of recidivism, desistance, and associations with mental health.","Serious and violent offending among juveniles is a consistent concern of researchers, practitioners, and policymakers, yet the development of violent offending remains poorly understood because of limited availability of relevant data, small sample sizes, and shortage of longitudinal data sets. This study analyzed developmental patterns of violent offending over 7 years in the complete population of court-referred youth in Connecticut between 2006 and 2012 (N = 58,678; mean age at first offense = 14.7 years). This unique dataset provided several key findings: First, results from a latent class growth analysis showed that violent crimes peaked at age 14-15, with high-rate adolescent offenders (3.7% of the sample) accounting for 31.9% of all violent offenses. Further, 74.2% of this group desisted from violent crimes in adulthood. Higher levels of self-reported anger/irritability slightly increased the odds of violent recidivism (odds ratio, OR = 1.09), where higher levels of depression/anxiety depressed the odds (OR = 0.89). The overrepresentation of males, non-Hispanic Black, and Hispanic youth among high-rate adolescence offenders were traceable through adolescence but not beyond the age of 18. Together, these finding may help to inform new delinquency interventions that target the needs of this proportionally small group of violent adolescent offenders accounting for a large amount of violent crimes. (PsycINFO Database Record",https://doi.org/10.1037/lhb0000241,
